feature,coef_judge,se_robust_judge,t_robust_judge,coef_fan,se_robust_fan,t_robust_fan,direction_same,diff,diff_se,diff_t,diff_p
celebrity_homecountry/region_Croatia,-0.007009073940445004,5.757109085235838,-0.0012174641537399113,1.0275515677028402,18.680022570736988,0.055008047437401994,False,-1.034560641643285,19.5470598367772,-0.052926662642981764,0.9577903404472006
ballroom_partner_Rylee Arnold,-0.009125688893415279,0.4784379338425992,-0.019073924218595783,0.07617613369232867,,,False,-0.08530182258574395,,,
ballroom_partner_Henry Byalikov,-0.009888798644013153,0.6303260132041553,-0.015688387337443245,0.2214594738031121,1.1920830833892002,0.1857752004780428,False,-0.23134827244712525,1.3484706005785025,-0.17156345295765096,0.8637807416737919
ballroom_partner_Derek Hough,-0.010895195082747361,1.2786755475886549,-0.008520687756400504,-0.17876052942122755,2.6507720882966654,-0.06743715546518207,True,0.1678653343384802,2.9430602814237106,0.05703768128639045,0.9545151786598263
ballroom_partner_Gleb Savchenko,-0.013814670031260468,0.4518562799348685,-0.030573150456715447,-0.6955488776548131,,,True,0.6817342076235526,,,
season,-0.01615108158429067,2.0152451772418956,-0.008014449937250494,-0.003128582096676963,22621.783804981365,-1.382995312680887e-07,True,-0.013022499487613706,22621.78389474469,-5.75661917212417e-07,0.999999540688244
ballroom_partner_Ezra Sosa,-0.017374133196430316,19546449.32549722,-8.888639009114948e-10,-0.8506586076173629,,,True,0.8332844744209326,,,
celebrity_industry_Con artist,-0.01737413319643155,33947352.17275735,-5.117964166399476e-10,-0.8506586076173916,,,True,0.8332844744209601,,,
ballroom_partner_Alec Mazo,-0.02082597265049682,0.7428330166294683,-0.02803587372165096,-1.847980722654127,3.203119570458719,-0.5769315450154979,True,1.82715475000363,3.288126498973311,0.5556826206577342,0.5784278394162077
celebrity_homestate_Virginia,-0.02240136703785768,,,0.48798699085261515,,,False,-0.5103883578904729,,,
celebrity_homestate_Arkansas,-0.024000117331683238,,,0.9846193117196236,,,False,-1.0086194290513069,,,
celebrity_industry_Singer/Rapper,-0.02986508838598259,,,-0.458134528193881,,,True,0.42826943980789844,,,
ballroom_partner_Emma Slater/Kaitlyn Bristowe (week 9),-0.041094608455861374,0.5206201326224867,-0.07893395948569663,1.1393429994249256,,,False,-1.180437607880787,,,
celebrity_homestate_West Virginia,-0.041192572118517776,,,-0.8226179106944225,0.0,,True,0.7814253385759047,,,
ballroom_partner_Val Chmerkovskiy (Joey Graziadei week 9),-0.044347442214195926,,,-0.40442368521492433,29548022664.982162,-1.3686996581812337e-11,True,0.3600762430007284,,,
celebrity_industry_Social media personality,-0.044347442214198785,,,-0.40442368521496175,41991554069.383736,-9.631072109089413e-12,True,0.36007624300076296,,,
ballroom_partner_Valentin Chmerkovskiy,-0.044411685504679055,0.6342166354631105,-0.07002604949371796,-0.7598399475051547,2.639808729872087,-0.2878390161024935,True,0.7154282620004757,2.714925573750969,0.26351671254546866,0.7921523438809148
celebrity_homestate_Nevada,-0.047060778716993865,,,0.7594301485223542,0.0,,False,-0.8064909272393481,,,
ballroom_partner_Artem Chigvintsev,-0.047616431412833275,0.7788239055406416,-0.06113889298220635,-1.3925758782087794,1.5528194325659503,-0.8968047726628606,True,1.344959446795946,1.737185904270472,0.7742173382190545,0.4388022768152602
celebrity_homestate_Washington,-0.04879352254469179,0.0,,0.7841393080784322,16.477807703640273,0.04758759916255124,False,-0.8329328306231241,16.477807703640273,-0.050548765078689,0.9596850901328375
ballroom_partner_Emma Slater,-0.04929989517965644,0.9886522761900637,-0.04986575802934658,-0.602162653725508,1.2178701283855762,-0.49443913574244763,True,0.5528627585458517,1.5686430355022438,0.35244650697017094,0.7245034290931787
celebrity_homestate_Maryland,-0.05171196148387101,,,-0.14365410575048543,8.238903851820137,-0.01743607017804309,True,0.09194214426661441,,,
celebrity_industry_Model,-0.05935668367985075,,,-1.0932125053005144,0.36411154894787406,-3.0024109602110367,True,1.0338558216206637,,,
ballroom_partner_Damian Whitewood,-0.06212637812837429,,,-1.186567353301679,2.0372256733450276,-0.5824427646022111,True,1.1244409751733047,,,
celebrity_homestate_Hawaii,-0.0645928365563461,0.7282230978957481,-0.0886992416788092,0.4587431252733649,,,False,-0.523335961829711,,,
celebrity_industry_Motivational Speaker,-0.06641456097539504,,,1.1080957330658028,,,False,-1.1745102940411978,,,
celebrity_homecountry/region_Wales,-0.06800474725209618,4.479829984406684,-0.015180207170541282,1.1628148122763047,8.238903851820137,0.14113707760036742,False,-1.2308195595284008,9.378081539884684,-0.13124428000479246,0.8955820685014841
celebrity_homestate_Florida,-0.07642880378227138,,,0.39289162725823945,,,False,-0.4693204310405108,,,
ballroom_partner_Sharna Burgess,-0.07772438722672115,0.6696893886664705,-0.11606035356404713,-0.9045318668659205,,,True,0.8268074796391993,,,
ballroom_partner_Keo Motsepe,-0.07993114265527473,0.7742388708015678,-0.1032383488735488,-1.862077308073663,3.9416231400020005,-0.4724138361113635,True,1.7821461654183883,4.016943963619522,0.44365721343360764,0.6572904341598695
celebrity_homecountry/region_Philippines,-0.08095068441825953,,,0.40180194261186764,16.477807703640273,0.02438442964248828,False,-0.48275262703012717,,,
ballroom_partner_Daniella Karagach,-0.08502698160919328,1.0313076986388878,-0.0824457935506651,-0.09253006848095718,2.00054363388582,-0.046252462037645464,True,0.007503086871763903,2.2507266382999336,0.003333628679772188,0.9973401540714746
ballroom_partner_Tony Dovolani,-0.08521656579616399,0.7149909537472033,-0.11918551605380687,-1.0002310827563927,,,True,0.9150145169602287,,,
ballroom_partner_Cheryl Burke,-0.08707095489336836,,,-0.5372138555440709,,,True,0.4501429006507025,,,
ballroom_partner_Ezra Sosa (Apolo Anton Ohno week 9),-0.0931822827444953,0.6387172970952888,-0.14588971234732923,-0.7872329649948623,1.1798562670134065,-0.6672278539381756,True,0.6940506822503669,1.3416484623102738,0.5173118754634392,0.6049384654642433
celebrity_homestate_California,-0.09393114263366692,0.0,,-0.19186951373157823,,,True,0.09793837109791131,,,
celebrity_homestate_New Mexico,-0.09414308856790345,0.0,,-1.8754524394736654,,,True,1.7813093509057618,,,
ballroom_partner_Peta Murgatroyd,-0.09438438388759093,0.47691332514190315,-0.19790678706556863,-0.3659529881009993,1.078978087730742,-0.33916628359956325,True,0.27156860421340834,1.179677936345762,0.2302057161928745,0.8179319202559738
ballroom_partner_Alan Bersten (Rashad Jennings week 9),-0.09454611276232978,0.8380778200966822,-0.11281304730320005,-0.24263964830732798,3.7254768455640654,-0.06512982320538098,True,0.1480935355449982,3.8185798615940962,0.03878235912635212,0.9690639096305824
celebrity_homecountry/region_Spain,-0.09472002249992695,2.9128923915829925,-0.03251751515903132,-2.1342624829879546,16.477807703640273,-0.1295234488333332,True,2.0395424604880277,16.733292826072482,0.12188530265305435,0.9029898556201164
celebrity_homestate_Kansas,-0.09570294369549867,,,0.003708042354920865,0.0,,False,-0.09941098605041954,,,
ballroom_partner_Maksim Chmerkoskiy,-0.09768544373537122,0.7250158359756982,-0.13473560009059657,-0.8257525616778321,,,True,0.7280671179424608,,,
ballroom_partner_Ashly DelGrosso,-0.0998962917871973,1.995035072631356,-0.05007244892965158,-0.8881973549899334,4.806410365174368,-0.18479432414375446,True,0.7883010632027361,5.204012446130851,0.1514794730725198,0.8795975020980487
ballroom_partner_Brian Fortuna,-0.10098555290017565,27868684.92130603,-3.6236210350553956e-09,-1.9824579324286409,,,True,1.8814723795284651,,,
celebrity_industry_Beauty Pagent,-0.10098555290017586,45693177.868756905,-2.2100794387782247e-09,-1.9824579324286415,,,True,1.8814723795284656,,,
celebrity_homecountry/region_Mexico,-0.10239919811244402,4.119451925910068,-0.024857481032460892,0.3368625463693675,16.875303515073995,0.01996186593434971,False,-0.43926174448181154,17.370830518307205,-0.025287319683354886,0.9798257881251857
celebrity_homestate_New York,-0.10394449365410352,0.0,,0.19466450481814412,0.0,,False,-0.29860899847224764,0.0,-inf,0.0
celebrity_industry_Military,-0.1053502213080049,,,0.4527410070356296,,,False,-0.5580912283436344,,,
celebrity_homestate_Texas,-0.10567793428447733,,,0.4616256679246129,0.0,,False,-0.5673036022090903,,,
celebrity_industry_Fashion Designer,-0.10695747403397868,,,-1.7750469409428629,,,True,1.6680894669088842,,,
celebrity_industry_Radio Personality,-0.10720176808903122,,,-1.1700616035095992,,,True,1.062859835420568,,,
celebrity_homestate_South Dakota,-0.1085489005905616,,,0.5570904114330764,0.0,,False,-0.6656393120236379,,,
celebrity_industry_Racing Driver,-0.10934460426267659,,,0.2075840486290319,,,False,-0.31692865289170846,,,
celebrity_homecountry/region_Ireland,-0.10982302319480197,2.9128923915829925,-0.037702396254713465,1.1276044227175366,23.30313913266394,0.04838852037479263,False,-1.2374274459123384,23.484489253999875,-0.052691264967645826,0.9579778989048826
celebrity_industry_TV Personality,-0.11044731532208682,,,-0.34549004948653883,,,True,0.235042734164452,,,
celebrity_industry_Social Media Personality,-0.11617200714512041,,,-0.3455862179335785,0.6306597024003201,-0.547975741304322,True,0.2294142107884581,,,
ballroom_partner_Lindsay Arnold,-0.11689461099656587,,,-0.42074546955511277,0.6808100987091361,-0.6180070923637528,True,0.3038508585585469,,,
celebrity_industry_Fitness Instructor,-0.11758232306648153,,,0.7944449262553352,,,False,-0.9120272493218168,,,
celebrity_homecountry/region_United States,-0.11763982456534729,,,-0.5956469146133798,,,True,0.47800709004803255,,,
celebrity_homestate_Ohio,-0.11784341242999422,0.0,,-0.786828150395833,8.238903851820137,-0.09550155755513606,True,0.6689847379658388,8.238903851820137,0.08119826981814418,0.9352842754595978
ballroom_partner_Anna Trebunskaya,-0.11990018619189118,0.5809160029401388,-0.20639849063384547,-1.4468976183343418,2.4870777881336563,-0.581766129406076,True,1.3269974321424507,2.554020228326265,0.5195720133399556,0.6033619085742812
ballroom_partner_Louis van Amstel,-0.12110114920280768,0.7816448386907923,-0.15493116976969332,-0.5423545208015146,,,True,0.4212533715987069,,,
celebrity_homestate_Alaska,-0.12861960798330224,0.0,,0.47338485849042966,11.65156956633197,0.040628419698776765,False,-0.6020044664737318,11.65156956633197,-0.05166724217252808,0.9587938393209223
ballroom_partner_Jesse DeSoto,-0.12888076298264062,73050361.39886416,-1.7642727635382314e-09,-2.5275864057814377,641625294.6287768,-3.939349690451053e-09,True,2.398705642798797,645770372.5071082,3.714486983176661e-09,0.9999999970362683
celebrity_homestate_Rhode Island,-0.12888076298264067,162472253.26737985,-7.932478339580986e-10,-2.5275864057814337,,,True,2.398705642798793,,,
ballroom_partner_Kym Johnson,-0.12949348280722117,0.7765556129062509,-0.16675364990614547,-1.2082163945355087,,,True,1.0787229117282875,,,
ballroom_partner_Andrea Hale,-0.1297972366789419,,,-2.142638353034509,,,True,2.0128411163555673,,,
celebrity_homestate_Arizona,-0.13215170748095262,0.0,,1.0766375067923506,0.0,,False,-1.2087892142733032,0.0,-inf,0.0
ballroom_partner_Mark Ballas,-0.13524870571459557,0.8552807547065351,-0.15813369466147087,-1.1663669448909317,,,True,1.0311182391763363,,,
celebrity_homecountry/region_Canada,-0.13645926623725654,2.9128923915829925,-0.046846655452005434,0.1367669028519931,13.026850797443014,0.010498846189198583,False,-0.2732261690892497,13.34854987569001,-0.020468603079263407,0.9836695579402528
