feature,coef_std_judge,coef_std_fan
celebrity_homecountry/region_Czechoslovakia,-0.011885431623343394,-0.07807165639522365
celebrity_industry_Producer,-0.011902302158993232,0.03475913140031649
celebrity_homecountry/region_Russia,-0.011960655478855449,-0.035515770711123745
celebrity_industry_Entrepreneur,-0.01219549030333937,-0.11916332472200653
ballroom_partner_Tristan MacManus,-0.012435372915707541,-0.03407211564001823
celebrity_homestate_Arizona,-0.01303945730843896,0.10623221654935217
celebrity_homestate_North Carolina,-0.013362059378692767,-0.03611340203201798
celebrity_homecountry/region_Germany,-0.013752470676003275,0.02866323995915574
ballroom_partner_Sharna Burgess,-0.013986333736789518,-0.16276853400781027
ballroom_partner_Dmitry Chaplin,-0.014401304719913709,-0.10990337640090966
celebrity_homestate_Washington D.C.,-0.014642183814070852,0.11775691732455197
ballroom_partner_Koko Iwasaki,-0.014701057803289341,-0.006013313123191869
celebrity_homestate_Missouri,-0.01617319199206641,-0.030564315698449362
celebrity_homecountry/region_Yugoslavia,-0.016233546679727127,-0.12171991861497136
ballroom_partner_Anna Trebunskaya,-0.016495937095930335,-0.1990650127773356
celebrity_homestate_Florida,-0.016924876259447615,0.08700439946257589
ballroom_partner_Tony Dovolani,-0.017140909058657054,-0.20119175030097639
celebrity_homecountry/region_South Africa,-0.01757300724276411,-0.12455260736657536
ballroom_partner_Allison Holker,-0.01760275439805635,-0.023550818682796217
ballroom_partner_Peta Murgatroyd,-0.017680621201852622,-0.06855240129559331
celebrity_homestate_Minnesota,-0.01778309173870298,0.03111108858611423
celebrity_homestate_Delaware,-0.017878857752950273,-0.006891548644468892
celebrity_homestate_New Jersey,-0.01810617421712028,0.007484172528985492
celebrity_industry_Social Media Personality,-0.018182421800810047,-0.05408871325746273
ballroom_partner_Louis van Amstel,-0.018271280781140514,-0.08182838724255637
celebrity_homestate_Ohio,-0.01857372107853033,-0.12401479472489711
celebrity_homecountry/region_France,-0.018868995373659513,-0.002897678586694666
ballroom_partner_Britt Stewart,-0.01932446622846993,-0.09794389680753061
ballroom_partner_Lindsay Arnold,-0.019419430169789573,-0.06989746743346896
ballroom_partner_Maksim Chmerkoskiy,-0.01996967131928294,-0.16880721033968737
ballroom_partner_Jonathan Roberts,-0.02087696658337069,-0.2172671669216254
celebrity_homecountry/region_Canada,-0.020899880853509457,0.020946997980631737
celebrity_industry_Comedian,-0.021344182892772873,-0.09472981744594539
celebrity_homecountry/region_Poland,-0.0219616048741049,-0.04816773220468318
ballroom_partner_Cheryl Burke,-0.022097130252332682,-0.1363357568990961
celebrity_homestate_Michigan,-0.02252069440340652,0.030361435920541226
celebrity_homecountry/region_Chile,-0.023136648005651496,-0.04222859276549314
ballroom_partner_Kym Johnson,-0.023423956293021558,-0.21855314572274634
